pool_name,pool_address,pool_data,total_liquidity
USDC/agEUR (0.05%),0xC2CB03a819F785bD8eb8D628BAD41Cd7c1C71F4B,"[((b'\x13}\xaf\xdfV\x96\xd2[\xe5V\xceH:km\x97\x1a\x1f\xdd\x0f\x17\xc8\xcc\x0e\xc4\x972;\x83\xca\xc7\x92', '0xC2CB03a819F785bD8eb8D628BAD41Cd7c1C71F4B', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 5503670190124912643560, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 3213755722), ('0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4', 18, 'agEUR', 110382958411254304410272), 'oRETRO', 18)]",120440.46
FRAX/CASH (0.01%),0x72289129Dc4937a5d406d1ECeD8b2A17d007A650,"[((b'\xb5\xf2\xd6\xd3m\x8fUn\xc3\xf2\x82\xd9\xd0\xdf\xa8\x80$\xc9\xf9\x8e\xfar}""\xf3\xa9\x91:\x16c\'N', '0x72289129Dc4937a5d406d1ECeD8b2A17d007A650', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 7165930112944257754275, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89', 18, 'FRAX', 30642654247172155071316), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 56873696619284865097840), 'oRETRO', 18)]",87340.82
CASH/RETRO (1%),0xb47A07966cE6812702C0567d03725F1b37E27877,"[((b'\xee\xcen|\xa7\xe5\x1bSN\x82\xab\xd6i\xcd\xa0\xcc\xe0\xc9\x85v\t\xadiJ\xc8Jy-q>\xf3\xdc', '0xb47A07966cE6812702C0567d03725F1b37E27877', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 49804565667128963056130, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 161283038818949790857563), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 2221305932623672502896429), 'oRETRO', 18)]",345736.37
WETH/RETRO (1%),0x35394eED0Be676ec6470fE6531daD809265310ff,"[((b'\xees\xa8\xe2\x9af\x80\xe0\x06?\xeacH\xb5\xae\x0306FE\x01\xce\xa6\x1b&\x93S\x8b-+:\x0c', '0x35394eED0Be676ec6470fE6531daD809265310ff', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 38387303271386356721413, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 30720289709747245559), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 271235101805077717665462), 'oRETRO', 18)]",71386.6
WMATIC/RETRO (1%),0x547FD24AA2ED09d86dAC02E36b8Ce84A59fD644F,"[((b'i\x9e!\x9e\xa3T\xdeCM\x87\x04D>u\x00b:\xab\xec\x0cq\xf2AM\x168\xcb\xb4\x82i\xd6\xb8', '0x547FD24AA2ED09d86dAC02E36b8Ce84A59fD644F', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 43816091313607745445044, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 121073200438629428835928), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 322279488439045150373055), 'oRETRO', 18)]",89885.16
WBTC/RETRO (1%),0x0F73E719a76947752E4b26A2c3FC80a580e68fB4,"[((b'tg\x1d\xa2\r$\x1b\x0bX\x06\xae\x85\x17\xbb\x9as\x0eV\x03E\x999\x075\x06\xc4\x10\xd4\xa1\xd35\xf2', '0x0F73E719a76947752E4b26A2c3FC80a580e68fB4', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 22768899779042453080538, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6', 8, 'WBTC', 114414111), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 134087101870124719964219), 'oRETRO', 18)]",41182.58
stMATIC/RETRO (1%),0x0973698BB6399c39d628698f9300430C4e7c9bf9,"[((b'\x05\x95!\xccXN\xfb\x85\xe2\x8c\xfd[^\x1ed[t\x0f\x89\x00`\xe1*\\T\xb5\xdb\x92\x13\x0c\x7f\xbf', '0x0973698BB6399c39d628698f9300430C4e7c9bf9', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 10758800621259746518255, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4', 18, 'stMATIC', 26709876798934965473148), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 78747832243587607454957), 'oRETRO', 18)]",21655.41
USDC/RETRO (1%),0xc7d8B9c270D0E31A6a0Cf4496fe019766Be42E15,"[((b'\xfb\xbc\x0fO\xef\xaf\x03\x00\x08tZ(\x81\xdbC\xe2\x1f\xd5\xee\xc4\xb8\xe5\xcd\xa7\xd8\x14\xba-\xc4\x11\x03\xae', '0xc7d8B9c270D0E31A6a0Cf4496fe019766Be42E15', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 41406005198490231064157, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 24651340385), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 103045847921833630386433), 'oRETRO', 18)]",33218.37
RETRO/USDT (1%),0x69dCAE97A1286B112a8BD75bD9147bD0a3207756,"[((b'\xef\xf9\x17n\xe0nv9>KON\xc8\x9c\x89\xaf\xdc\xd6\xb6\xc1\x1d\xbf\xf8g\x88Dc\xa7:|\xe5\xf6', '0x69dCAE97A1286B112a8BD75bD9147bD0a3207756', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 4758318913128105637870, [], [], 0, 6000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 88648892039364332532262), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 19148530507), 'oRETRO', 18)]",26514.68
miMATIC/RETRO (1%),0xd98eEf295f78ddDd104a8645854C7F8714B39B88,"[((b'\xa2\xc6z\x0e\x1d/\xfb\x92\n\x9b\x0b\xc0\xeb\xcf\x85\x97\xeb\xb2C\xb5@\xca+\xd5\xf1~\xc6Ec`I\xbd', '0xd98eEf295f78ddDd104a8645854C7F8714B39B88', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 2901225836509255017884, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xa3Fa99A148fA48D14Ed51d610c367C61876997F1', 18, 'miMATIC', 25152717076297957437340), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 40817571063245016987528), 'oRETRO', 18)]",25944.49
