Epoch,Emissions,LP,Rebase,Team
123,223338.55,150753.52,67001.57,5583.46
124,218871.78,147738.45,65661.54,5471.79
125,214494.35,144783.68,64348.30,5362.36
126,210204.46,141888.01,63061.34,5255.11
127,206000.37,139050.25,61800.11,5150.01
128,201880.36,136269.25,60564.11,5047.01
129,197842.76,133543.86,59352.83,4946.07
130,193885.90,130872.98,58165.77,4847.15
131,190008.18,128255.52,57002.46,4750.20
132,186208.02,125690.41,55862.41,4655.20
133,182483.86,123176.61,54745.16,4562.10
134,178834.18,120713.07,53650.25,4470.85
135,175257.50,118298.81,52577.25,4381.44
136,171752.35,115932.84,51525.70,4293.81
137,168317.30,113614.18,50495.19,4207.93
138,164950.96,111341.90,49485.29,4123.77
139,161651.94,109115.06,48495.58,4041.30
140,158418.90,106932.76,47525.67,3960.47
141,155250.52,104794.10,46575.16,3881.26
142,152145.51,102698.22,45643.65,3803.64
143,149102.60,100644.25,44730.78,3727.56
144,146120.55,98631.37,43836.16,3653.01
145,143198.14,96658.74,42959.44,3579.95
146,140334.17,94725.57,42100.25,3508.35
147,137527.49,92831.06,41258.25,3438.19
148,134776.94,90974.43,40433.08,3369.42
149,132081.40,89154.95,39624.42,3302.04
150,129439.77,87371.85,38831.93,3235.99
151,126850.98,85624.41,38055.29,3171.27
152,124313.96,83911.92,37294.19,3107.85
153,121827.68,82233.68,36548.30,3045.69
154,119391.13,80589.01,35817.34,2984.78
155,117003.30,78977.23,35100.99,2925.08
156,114663.24,77397.69,34398.97,2866.58
157,112369.97,75849.73,33710.99,2809.25
158,110122.57,74332.74,33036.77,2753.06
159,107920.12,72846.08,32376.04,2698.00
160,105761.72,71389.16,31728.52,2644.04
161,103646.48,69961.38,31093.95,2591.16
162,101573.56,68562.15,30472.07,2539.34
163,99542.08,67190.91,29862.63,2488.55
164,97551.24,65847.09,29265.37,2438.78
165,95600.22,64530.15,28680.07,2390.01
166,93688.21,63239.54,28106.46,2342.21
167,91814.45,61974.75,27544.33,2295.36
168,89978.16,60735.26,26993.45,2249.45
169,88178.60,59520.55,26453.58,2204.46
170,86415.02,58330.14,25924.51,2160.38
171,84686.72,57163.54,25406.02,2117.17
172,82992.99,56020.27,24897.90,2074.82
173,81333.13,54899.86,24399.94,2033.33
174,79706.47,53801.87,23911.94,1992.66
175,78112.34,52725.83,23433.70,1952.81
176,76550.09,51671.31,22965.03,1913.75
